
2024/01/03 (12:29:34) | INFO: Logger set to DEBUG
2024/01/03 (12:29:34) | DEBUG: Using locale en_US.UTF-8
2024/01/03 (12:29:34) | INFO: Running on /dev/pts/2
2024/01/03 (12:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/03 (12:29:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/03 (12:29:35) | DEBUG: Shared::init() : Initialized.

2024/01/03 (14:44:02) | ===> btop++ v.1.3.0
2024/01/03 (14:44:02) | INFO: Logger set to DEBUG
2024/01/03 (14:44:02) | DEBUG: Using locale en_US.UTF-8
2024/01/03 (14:44:02) | INFO: Running on /dev/pts/6
2024/01/03 (14:44:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/03 (14:44:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/03 (14:44:03) | DEBUG: Shared::init() : Initialized.

2024/01/03 (15:33:10) | ===> btop++ v.1.3.0
2024/01/03 (15:33:10) | INFO: Logger set to DEBUG
2024/01/03 (15:33:10) | DEBUG: Using locale en_US.UTF-8
2024/01/03 (15:33:10) | INFO: Running on /dev/pts/6
2024/01/03 (15:33:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/03 (15:33:12) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/03 (15:33:12) | DEBUG: Shared::init() : Initialized.

2024/01/03 (15:35:44) | ===> btop++ v.1.3.0
2024/01/03 (15:35:44) | INFO: Logger set to DEBUG
2024/01/03 (15:35:44) | DEBUG: Using locale en_US.UTF-8
2024/01/03 (15:35:44) | INFO: Running on /dev/pts/3
2024/01/03 (15:35:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
